"","river","climate","winter_mean_past","spring_mean_past","summer_mean_past","fall_mean_past","total_mean_past","total_min_past","total_max_past","total_Q_past","total_Q_min_past","total_Q_max_past","av_DOC_past","winter_mean_fut","spring_mean_fut","summer_mean_fut","fall_mean_fut","total_mean_fut","total_min_fut","total_max_fut","total_Q_fut","total_Q_min_fut","total_Q_max_fut","av_DOC_fut"
"1","Acarau","A",0.00429906488755924,0.0128172278276819,0.000136253068594249,2.39559593314838e-05,0.0172765017431669,0.0148757437274504,0.0196772597588834,4.30915742583209,3.71478345726542,4.90353139439877,1.89917603656998,0.00466436531979868,0.012325249509583,7.75916407438476e-05,3.30476706868796e-05,0.0171002541408124,0.0143753831277665,0.0198911112794402,4.24422830277846,3.60082296476275,4.88763364079417,1.88336033235689
"2","Alabama","C",0.116286411490887,0.0706374599581294,0.0193302786894154,0.0292077679491955,0.235461918087627,0.206557015691367,0.264366820483888,57.5773789753335,50.4598926849447,64.6948652657222,3.7246163324729,0.121069047238897,0.0753125616047217,0.0189370175713133,0.0295229535794054,0.244841579994337,0.214807300661656,0.275270633579326,59.4172193027244,52.3302492027727,66.5041894026761,3.74497655719811
"3","Alazeya","D",2.98538801708413e-05,0.0119909741084214,0.00439803813739746,0.000110796032704559,0.0165296621586942,0.0148223332749293,0.0182369910424592,6.05807860852787,5.39317090005389,6.72298631700184,0.920650471502621,9.22879989212992e-05,0.0311651575071917,0.00800427665566147,0.000396383911309592,0.039658106073084,0.0288021055255206,0.0520947191614625,7.77792990491007,6.94147422957868,8.61438558024145,1.85994674877485
"4","Albany","D",0.015462799458531,0.465661952995179,0.0549570473242535,0.0781618501955889,0.614243649973553,0.553419713763141,0.675067586183964,56.1361496812426,50.5618137488951,61.7104856135901,7.46284786232607,0.0224998505117933,0.462161750177831,0.0530921270697528,0.102314600389541,0.640068328148919,0.543673328963992,0.74373760042874,59.6455276449919,53.1967033740538,66.0943519159301,7.86481984391538
"5","Alsek","E",0.0014778110586601,0.0610185642576091,0.0629512919923124,0.0173444772286514,0.142792144537233,0.132380775085672,0.153203513988794,34.4702309705255,31.9059494322671,37.0345125087839,3.03272511720039,0.0041875261108001,0.081794343733393,0.0460572077128355,0.0249358816402885,0.156974959197317,0.140675887074817,0.173550522889148,37.599994741403,34.093495989233,41.1064934935729,3.43997249251897
"6","Altamaha","C",0.0216935681445642,0.01406850025004,0.00446530373225382,0.00431493008939151,0.0445423022162495,0.0386908392519051,0.0503937651805939,12.7290824951409,11.0549934570186,14.4031715332632,3.02391884535144,0.0237746086226982,0.0156301040523792,0.00469818533067846,0.00462193300737082,0.0487248310131266,0.0424528888002849,0.0550640767921312,13.629910516344,11.9230186194156,15.3368024132725,3.0921117361403
"7","Amazon","A",7.73937557901857,8.23361439939184,2.71827905990569,3.28104058166824,21.9723096199843,20.3800655852583,23.5645536547104,5385.61482587591,4990.26345232857,5780.96619942325,3.90878622998414,7.88912093376533,7.79542210887837,2.66363440704067,3.35318032761237,21.7013577772967,19.9289000701413,23.4876754917109,5306.09710547177,4884.96375884745,5727.23045209608,3.90769914483641
"8","Amur","D",0.0222729003230977,0.351257069019788,0.250344290796085,0.104230601882193,0.728104862021164,0.675223291015843,0.780986433026485,246.446852597607,228.341548138171,264.552157057043,2.32125189244112,0.0273207452507271,0.369257630586458,0.300736727707067,0.124815069333166,0.822130172877418,0.716002817645662,0.936588701756041,266.444489862525,244.654158526881,288.234821198168,2.46731077789164
"9","Anabar","D",3.39111790826422e-05,0.0270978793036635,0.00344906589216,0.000163508332253436,0.0307443647071596,0.0277145157509351,0.033774213663384,13.917718826218,12.4077529455898,15.4276847068462,0.490037117195768,0.000112107292305036,0.0669827458579244,0.00675376605990473,0.000703086336782336,0.0745517055469165,0.0543166649450167,0.0971368112485232,17.1146285451848,14.7274020279413,19.5018550624283,1.19359307115748
"10","Anadyr","D",0.000161108871870543,0.0986494444130421,0.0224999379603525,0.00108103655009892,0.122391527795364,0.109982066664606,0.134800988926122,26.469260076133,23.6620326501734,29.2764875020926,1.19151307746377,0.000249122343652795,0.138836308891684,0.0153001215924596,0.00171123156944221,0.156096784397239,0.122940989992737,0.193306984363208,30.5336494841773,26.3406100463815,34.7266889219731,1.42583270049027
"11","Anderson","D",0.000435157272855022,0.0430538742679371,0.00855841087511787,0.00119590075997067,0.0532433431758807,0.0478625711426837,0.0586241152090776,4.40683280638205,3.97503200344376,4.83863360932034,4.83219453728245,0.000652630614547231,0.0586207814521688,0.00749634060002694,0.00191510518426284,0.0686848578510059,0.0536096658126566,0.086082250144424,5.22763776815434,4.68799903594353,5.76727650036515,5.41293008975497
