"","river","climate","latitude","winter_mean_past","spring_mean_past","summer_mean_past","fall_mean_past","total_mean_past","total_min_past","total_max_past","total_Q_past","total_Q_min_past","total_Q_max_past","av_DOC_past","winter_mean_fut","spring_mean_fut","summer_mean_fut","fall_mean_fut","total_mean_fut","total_min_fut","total_max_fut","total_Q_fut","total_Q_min_fut","total_Q_max_fut","av_DOC_fut"
"1","Acarau","A",-2.84,0.00464246562216166,0.0130821537278405,0.000129345219918473,2.54105115821928e-05,0.0178793750815028,0.0152366110227323,0.0205221391402732,4.44357928208708,3.78644996017389,5.10070860400027,1.91410933674594,0.00673905338146845,0.014084689633868,0.00014810346405006,4.87950160899867e-05,0.0210206414954765,0.0168157726990268,0.0253870156959063,5.1226050660925,4.13982056214962,6.10538957003538,2.06861337110313
"2","Alabama","C",30.66,0.116222516984356,0.0725419037782938,0.0203972024974609,0.0290398851531227,0.238201508413233,0.209129254551811,0.267273762274655,58.2276378290952,51.0532996298217,65.4019760283687,3.75603067269271,0.08925169094293,0.0600455972917056,0.0138386355701886,0.0225018459512773,0.185637769756102,0.15709242461159,0.214759421380771,45.8109585818817,38.9951013605239,52.6268158032395,3.63623448070291
"3","Alazeya","D",70.86,2.90101917172728e-05,0.011989435480866,0.00427288736242025,0.000106821302259705,0.0163981543372633,0.0146998391592471,0.0180964695152794,6.05142119853471,5.38550694003292,6.7173354570365,0.920715938129545,0.000823233258281151,0.078407399624041,0.0115028826454445,0.00195797375443943,0.0926914892822061,0.0678695046964534,0.124576035259969,12.3437814800798,10.6881360287972,13.9994269313624,3.16576976268619
"4","Albany","D",52.31,0.0158955029988752,0.463837301246284,0.058410086350797,0.0783971228244279,0.616540013420384,0.552405680652274,0.680674346188495,56.5551806373216,50.6362314028503,62.4741298717929,7.57785139713447,0.0677531109038749,0.447355346105937,0.0349431022450067,0.125987632570402,0.676039191825221,0.567307234614574,0.79289518321738,62.184579028283,54.3965179022763,69.9726401542897,8.48647101401461
"5","Alsek","E",59.13,0.00126928371513287,0.0582863009185574,0.0656369638961106,0.0170168452995526,0.142209393829353,0.131874283468719,0.152544504189988,34.3047493928665,31.7540656692831,36.8554331164499,3.00672653861581,0.0124098885566252,0.0947565622660055,0.0329742802272475,0.0361749800437091,0.176315711093587,0.156710972162331,0.196219894050159,41.3647810671442,36.9863625895693,45.7431995447191,3.88945162620321
"6","Altamaha","C",31.32,0.0222638843915789,0.0146960843124414,0.00490124790884005,0.00452531208634218,0.0463865286992025,0.0403280643448392,0.0524449930535658,13.1929256486302,11.4545461878846,14.9313051093758,3.0849953315288,0.0181044013797753,0.0119010111468805,0.00362547163539139,0.0040190753118302,0.0376499594738774,0.0317269729272955,0.0437169988274116,10.8887369923079,9.25185849820742,12.5256154864083,2.99494068515483
"7","Amazon","A",-1.9192,7.64892181186633,8.09013704621607,2.73996863966138,3.18380671503094,21.6628342127747,20.1787953245335,23.1468731010159,5319.22331046751,4950.34866284852,5688.09795808649,3.91371855316771,8.33621735124843,8.35333869871593,3.32326405658964,3.03825808622661,23.0510781927806,20.9890651833378,25.1688201158037,5565.99658166299,5101.42397072618,6030.5691925998,3.99431086729404
"8","Amur","D",52.95,0.022871779852764,0.352460006217777,0.270441785215456,0.105436577723098,0.751210149009095,0.694347682835534,0.808072615182657,251.626440602998,232.461753386215,270.791127819781,2.35566310978797,0.0512742457644852,0.411754895221602,0.394567638821799,0.170170759508582,1.02776753931647,0.895865129483854,1.16802823610362,295.047998761842,266.574702435176,323.521295088508,2.89627697060421
"9","Anabar","D",73.61,3.40226111051246e-05,0.026824126450317,0.00334196993463415,0.000167550563047137,0.0303676695591034,0.0272790544779266,0.0334562846402802,13.9285172990001,12.3715795865338,15.4854550114663,0.491981581829763,0.000388447723137372,0.116114204970784,0.00583637986087888,0.00390063089974686,0.126239663454547,0.0949001180577683,0.164648628222186,23.2734720948889,19.807549889301,26.7393943004768,1.88233406082893
"10","Anadyr","D",64.5,0.000402616799829003,0.0973066879710477,0.0215132239234122,0.00108393122863379,0.120306459922923,0.108036588027416,0.132576331818429,26.4426782683695,23.5510649879745,29.3342915487644,1.2041420545049,0.00864715866408376,0.180643008525895,0.0107075836001143,0.0148507488820652,0.214848499672158,0.162278855337574,0.276292787889655,41.8312069009357,34.4077853938382,49.2546284080332,2.42523855029322
"11","Anderson","D",69.72,0.000447728031623701,0.0421686054831274,0.00827333836994813,0.00119183047575405,0.0520815023604533,0.0467531173668099,0.0574098873540967,4.37512232708065,3.94215547891506,4.80808917524625,4.82098678494073,0.00331074231573129,0.0882139627924484,0.00714720218540689,0.00652915096640549,0.105201058259992,0.0795985130470155,0.13735051040598,6.93492609988579,6.0331379733523,7.83671422641928,7.85433563502241
"12","Angerman","D",62.81,0.00879447609020708,0.0606192430575231,0.0474855328974635,0.0216472318541979,0.138546483899392,0.131638530312169,0.145454437486614,15.6057692046396,14.8257339880001,16.3858044212792,7.6579114607097,0.0267859272535571,0.0724904377335027,0.0250132321267986,0.0261587686152769,0.150448365729135,0.129977870312622,0.173703420253528,17.3439106544901,15.8479746172029,18.8398466917774,8.20505928557659
"13","Apalachicola","C",29.72,0.0419069775907052,0.0259349932013741,0.0095364466958436,0.00933374038657242,0.0867121578744953,0.0757740415613461,0.0976502741876444,23.5163315772774,20.5270685734381,26.5055945811167,3.30310633576688,0.032531596723797,0.0208025025779163,0.0065628405585222,0.0076962399639414,0.0675931798241769,0.0570465673164435,0.0784074596201949,18.6813382515783,15.8998161416654,21.4628603614913,3.17987411653596
"14","Araguari","A",1.24,0.0868106207654042,0.106961196484977,0.0211230876015841,0.00271567044092745,0.217610575292893,0.184590493405127,0.250630657180659,51.6092627469138,43.7734833108215,59.4450421830061,3.31284017403733,0.0714601735873898,0.0981798134976015,0.0232417856832075,0.00268372932712557,0.195565502095324,0.15439579713612,0.237803608356436,46.3547692670829,36.825387019877,55.8841515142887,3.21325590128504
"15","Armeria","A",18.86,0.000151869329228462,0.000423661081692785,0.00454380539245262,0.00200779196764073,0.00712712777101461,0.00618107680173884,0.00807317874029038,1.97268843312834,1.71647898395069,2.22889788230598,2.29907711626123,7.3057564546247e-05,0.000255436504914989,0.00359615195041687,0.00195019987102322,0.00587484589090133,0.00467480730585627,0.00712908395605405,1.62059301811989,1.32292701949382,1.91825901674597,2.15661307377874
"16","Arnaud","E",59.98,0.000618802707904369,0.0517238803141394,0.0280774113267448,0.00708626573626912,0.0875063600850577,0.0759207260654249,0.0990919941046904,16.6000593213535,14.5784079830076,18.6217106596995,2.50768218683872,0.00879919050870909,0.0674415620837078,0.0105298667950433,0.0294741947435618,0.116244814131022,0.0873217656160402,0.149183292452179,21.9295965211762,17.9906002625162,25.8685927798363,4.03608900959728
"17","Ashburton","B",-21.69,0.000143791296942746,0.00071987274095294,0.000171670693692966,1.6680328455987e-06,0.00103700276443425,0.000647787468864439,0.00142621806000406,0.663769451904387,0.440676953198528,0.886861950610246,0.335246602894584,0.000920338101867804,0.00111030223421572,0.000197221508053031,2.2748345997568e-06,0.00223013667873631,0.00126712684336357,0.00325011437968391,0.918298533109031,0.557886827423512,1.27871023879455,0.392467304711744
"18","Asi Nehri","C",36.04,0.0226752693899142,0.00922968219711353,0.000605035934696556,0.00530967562579667,0.037819663147521,0.0337711239525792,0.0418682023424628,9.10636959725658,8.12213324539561,10.0906059491176,3.1546463749656,0.0117444131685337,0.00411063621090411,0.000551697036854273,0.00347935943520612,0.0198861058514982,0.016165889756661,0.023968798712062,5.13215001638997,4.28950615443693,5.97479387834302,2.88404687551586
"19","Atrato","A",8.19,0.00445768759324293,0.0122805127654305,0.0122674915249758,0.0129759386617957,0.0419816305454449,0.0379780256881093,0.0459852354027805,10.8891793653371,9.82295357487772,11.9554051557964,3.63670088874684,0.00725502355729774,0.0133741261474947,0.0141507228798171,0.0162600542321793,0.0510399268167889,0.0444708902016137,0.0579282797257313,12.9833114558587,11.4477240481496,14.5188988635678,3.79638671722507
"20","Attawapiskat","D",52.96,0.0109662181406114,0.303054568012597,0.0558288136406909,0.0727169370314507,0.44256653682535,0.398496878850103,0.486636194800596,28.1444885509765,25.329638248721,30.959338853232,11.6860497762638,0.0450419620836862,0.286221744649165,0.0370617922050271,0.115570799179915,0.483896298117793,0.411209711074523,0.56117373850235,30.9978521231602,27.309697960298,34.6860062860224,13.0652027409011
"21","Bandama","A",5.14,0.00878808660176748,0.0192294459222696,0.0424428098547346,0.0340686775831258,0.104529019961898,0.0955718039293831,0.113486235994412,29.2756948267934,26.7705897741894,31.7807998793974,3.2715882107499,0.00987925100520946,0.018325723067598,0.0505735364355612,0.0452310751118078,0.124009585620176,0.111480526106288,0.136785480907504,33.3483469520209,30.2702147930171,36.4264791110247,3.40018437146226
